1784,Finback,4
1784,Grampus,1
1784,Sperm,6
1789,Dolphin,1
1789,Grampus,1
1789,Pilot,3
1789,Whale,5
1791,Finback,5
1791,Grampus,4
1791,Killer,1
1791,Pilot,3
1791,Whale,19
1792,Finback,22
1792,Grampus,3
1792,Humpback,27
1792,Killer,1
1792,Pilot,7
1792,Right,2
1792,Sperm,7
1792,Whale,30
1793,Finback,1
1793,Humpback,11
1793,Killer,1
1793,Right,15
1793,Sperm,4
1793,Whale,33
1797,Right,3
1797,Sperm,1
1797,Whale,1
1798,Right,11
1798,Sperm,48
1800,Blackfish,10
1800,Dolphin,3
1800,Finback,3
1800,Humpback,7
1800,Killers,1
1800,Porpoise,4
1800,Right,24
1800,Sperm,12
1800,Whale,3
1801,Blackfish,3
1801,Humpback,5
1801,Porpoise,8
1801,Right,35
1801,Sperm,3
1802,Right,2
1802,Whale,2
1803,Sperm,12
1805,Sperm,3
1807,Pilot,1
1807,Sperm,1
1810,Right,1
1811,Right,1
1811,Sperm,1
1813,Sperm,3
1815,Finback,1
1815,Humpback,1
1815,Pilot,2
1815,Right,1
1815,Sperm,3
1815,Whale,57
1816,Finback,3
1816,Pilot,1
1816,Sperm,4
1816,Whale,46
1817,Pilot,4
1817,Right,16
1817,Sperm,3
1817,Whale,95
1818,Finback,5
1818,Humpback,1
1818,Pilot,2
1818,Right,13
1818,Sperm,14
1818,Whale,107
1819,Finback,12
1819,Grampus,1
1819,Humpback,9
1819,Killer,1
1819,Pilot,20
1819,Right,25
1819,Sperm,45
1819,Whale,165
1820,Finback,45
1820,Grampus,7
1820,Humpback,21
1820,Killer,2
1820,NULL,1
1820,Pilot,58
1820,Right,1
1820,Sperm,74
1820,Whale,69
1821,Finback,9
1821,Humpback,5
1821,Pilot,5
1821,Right,80
1821,Sperm,94
1821,Whale,24
1822,Finback,36
1822,Grampus,4
1822,Humpback,3
1822,Killer,2
1822,Pilot,25
1822,Right,78
1822,Sperm,181
1822,Whale,66
1823,Finback,28
1823,Humpback,6
1823,Pilot,16
1823,Right,62
1823,Sperm,188
1823,Whale,105
1824,Finback,5
1824,Humpback,3
1824,Pilot,3
